,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,OpenShort,OpenShort,OpenShort,Leakage,Leakage,Leakage
,,,,,,,,D0,D1,D2,I0,I1,I2
,,,,,,,,,,,,,
,,,,,,,LimitHigh,-0.1,-0.1,-0.1,0.5,0.5,0.5
,,,,,,,LimitLow,-1,-1,-1,0,0,0
seria,Site,Bin,SBin,XAdr,YAdr,TD,time_s,V,V,V,A,A,A
1,1,0,0,8,5,,,-1.2,-0.05,-0.3,0.4,0.6,0.2
2,1,0,0,12,5,,,-0.2,-0.15,-0.5,0.1,0.2,0.3
3,1,0,0,12,10,,,-0.6,-0.7,-1.2,0.6,0.4,0.5
4,1,0,0,15,12,,,-0.8,-0.2,-0.3,0.55,0.45,0.2
5,1,0,0,18,12,,,-0.05,-0.9,-0.2,0.1,0.05,0.7
6,1,0,0,20,20,,,-0.15,-0.15,-0.15,0.48,0.46,0.44
7,1,0,0,22,25,,,-0.25,-0.07,-0.3,0.3,0.1,0.2
8,1,0,0,25,30,,,-0.05,-0.05,-0.05,0.1,0.1,0.1
9,1,0,0,30,35,,,-0.3,-0.3,-0.3,0.2,0.2,0.2
